sha,date,subject,src_files,n_later_commits,seed_ctx_syms,seed_crude_syms,later_ctx_syms,file_hit,ctx_hit,crude_hit,ctx_hit_730,overlap_ctx
cc71d34ab52f,2026-08-17,[MooreToCore] Fix out-of-bounds and aggregate moore.extract lowering (#10993),lib/Conversion/MooreToCore/MooreToCore.cpp,3,1,20,6,1,1,1,1,ExtractOp
56f16468bccf,2026-08-13,[OM] Fix OM evaluator assert w/ non-constant msg,lib/Dialect/OM/Transforms/ElaborateObject.cpp,2,1,5,1,1,0,0,0,
4ac632ae7dd8,2026-08-13,[OM] Fix crash in assert w/ block arg message,lib/Dialect/OM/Transforms/ElaborateObject.cpp,2,1,2,1,1,0,1,0,
08f97b29f1c7,2026-08-03,[ImportVerilog] Re-apply array handling fixes without unpacked array reversal (#10926),lib/Conversion/ImportVerilog/Expressions.cpp,4,2,7,5,1,1,1,1,ExprVisitor;visitClassProperty
e2e5cca7355c,2026-07-28,[MooreToCore] Lower moore.null and handle comparisons to LLVM ptr ops (#10863),lib/Conversion/MooreToCore/MooreToCore.cpp,5,3,12,7,1,1,1,1,SourceOp;populateOpConversion;populateTypeConversion
42d11d06acf7,2026-07-22,[FIRRTL][InferDomain] Fix null pointer dereference (#10886),lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,1,1,3,4,1,0,1,0,
e7e3249173a2,2026-07-21,[ImportVerilog] Allow `assert`s inside functions,include/circt/Dialect/Moore/MooreOps.h;include/circt/Dialect/Moore/MooreOps.td,4,1,0,13,1,0,0,0,
a5f07baa45f0,2026-07-17,[ImportVerilog] Fix operand domain for real logical operators (#10842),lib/Conversion/ImportVerilog/Expressions.cpp,6,1,4,6,1,1,0,1,ExprVisitor
f1fe5740b35c,2026-07-15,[ExportVerilog] Fix precedence of equality operators (#10833),lib/Conversion/ExportVerilog/ExportVerilog.cpp,6,2,2,6,1,0,0,0,
dc54091c7728,2026-07-14,[MooreToCore] Legalize sim.queue as a target type to fix hierarchical queue refs (#10821),lib/Conversion/MooreToCore/MooreToCore.cpp,11,1,6,15,1,1,1,1,populateTypeConversion
a01b37c93c58,2026-07-14,[Moore] Fix VariableOp::getDefaultValue for non-integer types (#10827),lib/Dialect/Moore/MooreOps.cpp,3,1,2,5,1,1,1,1,getDefaultValue
3483195718eb,2026-07-08,[ImportVerilog] Fix corrupted constant string materialization (#10776),lib/Conversion/ImportVerilog/Expressions.cpp,12,1,11,10,1,1,1,1,materializeString
bb4d4f99f6ea,2026-07-06,[MooreToCore] Fix bool cast lowering for packed aggregates (#10777),lib/Conversion/MooreToCore/MooreToCore.cpp,18,1,7,20,1,1,1,1,BoolCastOp
a14ce3078b4c,2026-07-06,[ImportVerilog] Fix return type mismatch for functions returning string (#10775),lib/Conversion/ImportVerilog/Statements.cpp,6,1,5,4,1,1,1,1,StmtVisitor
acbc74635c94,2026-07-06,[MooreToCore][Transforms] Fix always_comb lowering for string-typed signals (#10769),lib/Conversion/MooreToCore/MooreToCore.cpp;lib/Transforms/MapArithToComb.cpp,18,1,6,20,1,1,1,1,getValuesToObserve
0da0bde46833,2026-06-25,[Comb] Fix O(NM) extract-of-concat resolution (#10733),lib/Dialect/Comb/CombFolds.cpp,1,3,25,1,1,1,1,1,canonicalize
0fbfd5858034,2026-06-24,[FIRRTL][Inliner] Fix n^2/crash when cloning anno to multiple tops. (#10721),lib/Dialect/FIRRTL/Transforms/ModuleInliner.cpp,9,1,0,28,1,1,0,1,run
23abfba6006b,2026-06-23,[DCToHW] Fix invalid ESI connections from Unpack(pack()) (#10649),include/circt/Dialect/DC/DCOps.td;lib/Dialect/DC/DCOps.cpp,1,6,15,6,1,1,1,1,UnpackOp;fold;getCanonicalizationPatterns;inferReturnTypes;pack;unpack
2aaa416d740d,2026-06-20,[FIRRTL] Fix when flattening with layerblocks domination issue (#10650),lib/Dialect/FIRRTL/Transforms/ExpandWhens.cpp,0,1,3,0,0,0,0,0,
3f65acfd617b,2026-06-17,[FIRRTLToHW] Fix firrtl enum lowering (#10648),lib/Conversion/FIRRTLToHW/LowerToHW.cpp,5,1,6,8,1,1,1,1,visitExpr
97129392af7a,2026-06-11,[ImportVerilog] Fix bit-vector builtins rejecting packed non-integer types (#10615),lib/Conversion/ImportVerilog/Expressions.cpp,15,1,3,11,1,1,1,1,convertSystemCall
ce945f02fde1,2026-06-07,[CombToSynth] Assertion failure in CompressorTree construction for comb.mul lowering (#105,lib/Dialect/Datapath/DatapathOps.cpp,1,1,2,1,1,1,0,1,CompressorTree
6a3a01e41523,2026-06-05,[FIRRTL] InferDomains: Fix domain casting for constants,lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,3,2,6,10,1,1,1,1,processOp;unifyAssociations
b645b96686fa,2026-06-04,[LLHD] Fix incorrect mux generation in remove-control-flow (#10566),lib/Dialect/LLHD/Transforms/RemoveControlFlow.cpp,1,1,4,1,1,1,0,1,run
38227a822425,2026-05-27,[Synth] Fix NPN input permutation mapping (#10543),lib/Support/TruthTable.cpp,0,1,4,0,0,0,0,0,
4ed926c3c177,2026-05-23,[OM] Fix IntegerShlOp evaluation to allow arbitrary bitwidth (#10533),lib/Dialect/OM/OMOps.cpp,4,1,4,14,1,0,1,0,
20309db8b207,2026-05-22,"[FIRRTL] Fix mux fold bug, 1 const, 2 SSA values (#10529)",lib/Dialect/FIRRTL/FIRRTLFolds.cpp,1,1,5,3,1,0,0,0,
793d63912b43,2026-05-20,[ImportVerilog] Fix unpacked string array initialization with concatenation (#10511),lib/Conversion/ImportVerilog/Expressions.cpp,20,2,17,12,1,1,1,1,ExprVisitor
be870d5d5d54,2026-05-15,"Revert ""[ImportVerilog] Fix several bugs in the handling of arrays (#10444)"" (#10478)",lib/Conversion/ImportVerilog/Expressions.cpp,24,3,6,13,1,1,1,1,ExprVisitor;materializeFixedSizeUnpackedArrayType;visitClassProperty
3daad646aa92,2026-05-13,[ImportVerilog] Fix several bugs in the handling of arrays (#10444),lib/Conversion/ImportVerilog/Expressions.cpp,25,3,6,13,1,1,1,1,ExprVisitor;materializeFixedSizeUnpackedArrayType;visitClassProperty
2cdbf0d17111,2026-04-30,[LLHD] Run Mem2Reg per slot to fix cubic scaling (#10321),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,3,22,69,12,1,1,1,1,Promoter;captureAcrossWait;constructLattice;insertBlockArgs;promote
bcc1685cdd20,2026-04-21,[LLHD] Run Mem2Reg per slot to fix cubic scaling (#10263),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,5,21,66,30,1,1,1,1,LatticeNode;LatticeValue;Promoter;SignalNode;captureAcrossWait;constructLattice;dump;insertBlockArgs;insertDriveBlocks;insertDrives;insertProbeBlocks;insertProbes;promote;propagateBackward;propagateForward;removeUnusedLocalSignal;removeUnusedLocalSignals;replaceValueWith;resolveDefinitionCondition;r
681992b3a872,2026-04-17,[SeqToSV] Fix illegal IR in clock-typed register (#10260),lib/Conversion/SeqToSV/FirRegLowering.cpp,2,1,6,3,1,1,1,1,lowerReg
6a2571d0a6c4,2026-04-16,[Synth][FunctionalReduction] Fix a SSA cycle (#10137),lib/Dialect/Synth/Transforms/FunctionalReduction.cpp,5,1,19,8,1,1,1,1,mergeEquivalentNodes
02bb5593a1fc,2026-04-14,Replace array constants with map by block to fix constant defined outside of IsolatedAbove,lib/Dialect/Synth/Transforms/LowerWordToBits.cpp,1,4,11,1,1,0,0,0,
1ccf9cf310cb,2026-04-09,[OM] Add property assert operation,include/circt/Dialect/OM/OMOps.td,12,1,1,10,1,1,1,1,SameOperandsAndResultType
a4a4f74118eb,2026-04-06,[FIRRTL] InferDomains: Fix wire updating,lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,10,2,28,69,1,1,1,1,updateModuleBody;updateWire
2867b37b5415,2026-04-06,[FIRRTL] Fix mask repeat order in FlattenMemory (#10106),lib/Dialect/FIRRTL/Transforms/FlattenMemory.cpp,0,1,2,0,0,0,0,0,
4df5007fbcf2,2026-03-30,[FIRRTL] Fix LowerClasses Objects not InstanceLike (#10081),lib/Dialect/FIRRTL/Transforms/LowerClasses.cpp,10,1,1,14,1,0,1,0,
738d5e09880f,2026-03-30,"[Synth][ResourceUsage] Fix misuse of InstanceGraphNode::getModule, report truth table tota",lib/Dialect/Synth/Analysis/ResourceUsageAnalysis.cpp,3,4,21,1,1,0,1,0,
b15ee99dbe58,2026-03-27,[ImportVerilog] Fix signal captures in timing controls (#10067),lib/Conversion/ImportVerilog/ImportVerilogInternals.h;lib/Conversion/ImportVerilog/TimingControls.cpp,30,2,4,7,1,1,0,1,Context
838a8bb29106,2026-03-27,[NFC][CoreToFSM] Fix typo in error message (#10063),lib/Conversion/CoreToFSM/CoreToFSM.cpp,4,0,1,1,1,0,1,0,
c9b4ed95782c,2026-03-27,[FIRParser] Fix a failure when the number of operands are missing on format string (#10044,lib/Dialect/FIRRTL/FIRRTLUtils.cpp,6,1,2,5,1,0,1,0,
c14279dcbf73,2026-03-26,[circt-reduce] Fix module-port-pruner crash on ports with uses (#10040),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,10,1,10,9,1,1,1,1,FModuleOp
60a9ebf59100,2026-03-24,[FIRRTL] Fix use-before-def in InferDomains (#10029),lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,14,2,8,74,1,1,1,1,updateInstance;updateModuleBody
c80cfb9e2967,2026-03-24,[FIRRTL][LOA] Fix bug dropping inner symbol within mapped type. (#10026),lib/Dialect/FIRRTL/Transforms/LowerOpenAggs.cpp,0,1,9,0,0,0,0,0,
88d9a5ad7a3a,2026-03-22,[InstanceGraph] Relax assertion failure condition (#10005),lib/Support/InstanceGraph.cpp,0,1,1,0,0,0,0,0,
b59eca8f1e7b,2026-03-22,[HW] Fix crash on self-referential hw.wire canonicalize,lib/Dialect/HW/HWOps.cpp,8,1,4,12,1,0,1,0,
72acea92c1d1,2026-03-22,[Moore] Fix crash on self-referential AssignedVariableOp canonicalize,lib/Dialect/Moore/MooreOps.cpp,8,1,1,8,1,0,0,0,
1625085798f3,2026-03-22,[ImportVerilog] Fix crash on instance with unconvertible port values,lib/Conversion/ImportVerilog/Structure.cpp,37,1,3,23,1,1,1,1,BaseVisitor
